
2025-04-21 11:16:59,792 Train started...
Trainable parameters: 1,388,548
batch 1500, time:0.539, loss: 44.5067, mean_absolute_error: 2.6966
batch 1600, time:0.527, loss: 59.0680, mean_absolute_error: 2.9500
batch 1700, time:0.548, loss: 58.5389, mean_absolute_error: 3.1893
batch 1800, time:0.537, loss: 69.4980, mean_absolute_error: 3.1524
batch 1900, time:0.554, loss: 68.1968, mean_absolute_error: 2.7183
batch 2000, time:0.546, loss: 88.7557, mean_absolute_error: 3.2601
batch 2100, time:0.549, loss: 45.0445, mean_absolute_error: 2.4824
batch 2200, time:0.534, loss: 46.6369, mean_absolute_error: 2.7651
batch 2300, time:0.543, loss: 60.6056, mean_absolute_error: 3.1291
batch 2400, time:0.530, loss: 70.0764, mean_absolute_error: 2.7768
batch 2500, time:0.554, loss: 82.3570, mean_absolute_error: 3.4028
batch 2600, time:0.547, loss: 75.9126, mean_absolute_error: 2.9555
batch 2700, time:0.545, loss: 59.1358, mean_absolute_error: 2.7162
batch 2800, time:0.530, loss: 64.3569, mean_absolute_error: 2.9387
batch 2900, time:0.556, loss: 49.8756, mean_absolute_error: 2.7672
batch 3000, time:0.552, loss: 33.7344, mean_absolute_error: 2.3689
batch 3100, time:0.544, loss: 43.6247, mean_absolute_error: 2.4228
batch 3200, time:0.554, loss: 94.3637, mean_absolute_error: 3.3152
batch 3300, time:0.543, loss: 47.7843, mean_absolute_error: 2.5643
batch 3400, time:0.531, loss: 72.3398, mean_absolute_error: 3.0651
batch 3500, time:0.550, loss: 69.1634, mean_absolute_error: 3.1807
batch 3600, time:0.549, loss: 61.2378, mean_absolute_error: 2.7841
batch 3700, time:0.533, loss: 57.3894, mean_absolute_error: 2.8037
batch 3800, time:0.532, loss: 60.8916, mean_absolute_error: 3.0788
batch 3900, time:0.544, loss: 76.3518, mean_absolute_error: 3.1174
batch 4000, time:0.513, loss: 75.5178, mean_absolute_error: 3.0638
batch 4100, time:0.553, loss: 59.5822, mean_absolute_error: 2.9203
batch 4200, time:0.541, loss: 102.3688, mean_absolute_error: 3.4150
batch 4300, time:0.553, loss: 86.5865, mean_absolute_error: 3.1258
batch 4400, time:0.558, loss: 49.7147, mean_absolute_error: 2.6401
batch 4500, time:0.553, loss: 58.0315, mean_absolute_error: 2.9752
